latency,average,timestamp,callback_time
10329856,22.521070,1743572629306855936,1743572629317185792
12275456,22.514316,1743572629368864768,1743572629381140224
10873856,22.513970,1743572629430729728,1743572629441603584
10761728,22.525791,1743572629493149440,1743572629503911168
10689536,22.521086,1743572629554488576,1743572629565178112
12078336,22.523619,1743572629616824832,1743572629628903168
10805760,22.518715,1743572629677185024,1743572629687990784
10788096,22.516489,1743572629739248896,1743572629750036992
10472448,22.525524,1743572629800200448,1743572629810672896
10316032,22.531721,1743572629864135680,1743572629874451712
13433344,22.532114,1743572629926651648,1743572629940084992
10797824,22.537326,1743572629988701952,1743572629999499776
13383680,22.537497,1743572630050660608,1743572630064044288
11213568,22.534619,1743572630112716032,1743572630123929600
10945280,22.520177,1743572630176683776,1743572630187629056
10744320,22.513253,1743572630239117056,1743572630249861376
10731776,22.518182,1743572630301929728,1743572630312661504
12492544,22.525668,1743572630365758208,1743572630378250752
10585856,22.527156,1743572630428599296,1743572630439185152
11141888,22.523577,1743572630491180288,1743572630502322176
10984448,22.523515,1743572630554877952,1743572630565862400
9983232,22.520530,1743572630617359872,1743572630627343104
10532864,22.525694,1743572630679066112,1743572630689598976
9656832,22.531471,1743572630742201088,1743572630751857920
12150016,22.525627,1743572630803709696,1743572630815859712
10325248,22.537822,1743572630866100224,1743572630876425472
10395392,22.534889,1743572630927665408,1743572630938060800
9771008,22.539827,1743572630990333184,1743572631000104192
11245056,22.545324,1743572631051970816,1743572631063215872
10431488,22.531713,1743572631115105536,1743572631125537024
9488640,22.522476,1743572631178878208,1743572631188366848
10576896,22.524670,1743572631241551616,1743572631252128512
9889280,22.536807,1743572631305719296,1743572631315608576
11894016,22.527740,1743572631368509696,1743572631380403712
11468032,22.522418,1743572631432162560,1743572631443630592
11435776,22.517416,1743572631494713600,1743572631506149376
9950208,22.515927,1743572631557663744,1743572631567613952
11793920,22.523059,1743572631619953664,1743572631631747584
9328896,22.514124,1743572631681234432,1743572631690563328
11582464,22.502201,1743572631744915712,1743572631756498176
10443520,22.508194,1743572631808056064,1743572631818499584
10443520,22.507409,1743572631870630912,1743572631881074432
12065792,22.509566,1743572631934299136,1743572631946364928
10057216,22.514531,1743572631996230400,1743572632006287616
9258752,22.507807,1743572632058983424,1743572632068242176
11573760,22.511029,1743572632121718272,1743572632133292032
10616320,22.514536,1743572632184377088,1743572632194993408
10235904,22.517525,1743572632245677056,1743572632255912960
10245632,22.518945,1743572632309232384,1743572632319478016
10040576,22.525773,1743572632371316736,1743572632381357312
10901504,22.525286,1743572632435594496,1743572632446496000
10974208,22.516974,1743572632498907392,1743572632509881600
10633984,22.525580,1743572632562545408,1743572632573179392
10404352,22.535683,1743572632625945856,1743572632636350208
11017472,22.526817,1743572632687976192,1743572632698993664
11007232,22.521488,1743572632749795328,1743572632760802560
9550848,22.521050,1743572632812850688,1743572632822401536
9797888,22.518263,1743572632876361728,1743572632886159616
8980480,22.519058,1743572632939868928,1743572632948849408
11146240,22.523956,1743572633001909760,1743572633013056000
10200064,22.518650,1743572633065346816,1743572633075546880
9109504,22.517710,1743572633127345664,1743572633136455168
10163712,22.507179,1743572633190110464,1743572633200274176
10873600,22.515605,1743572633254333440,1743572633265207040
11801344,22.524492,1743572633317675520,1743572633329476864
11540992,22.531335,1743572633381216000,1743572633392756992
10068480,22.527304,1743572633444207872,1743572633454276352
9881600,22.528868,1743572633506882816,1743572633516764416
10365696,22.528870,1743572633569437440,1743572633579803136
10024704,22.535459,1743572633632428544,1743572633642453248
9599488,22.538852,1743572633695119104,1743572633704718592
9683712,22.540342,1743572633758736640,1743572633768420352
9744640,22.542405,1743572633822087680,1743572633831832320
11204352,22.541992,1743572633885105920,1743572633896310272
9635584,22.539789,1743572633947149312,1743572633956784896
14187776,22.545070,1743572634010440960,1743572634024628736
9945856,22.538195,1743572634073341184,1743572634083287040
12287232,22.546976,1743572634135076096,1743572634147363328
10988800,22.540992,1743572634197501696,1743572634208490496
9874944,22.543398,1743572634259038208,1743572634268913152
11388928,22.551232,1743572634323123968,1743572634334512896
10299136,22.562325,1743572634385363712,1743572634395662848
10390528,22.576033,1743572634447571456,1743572634457961984
9841408,22.571669,1743572634510326272,1743572634520167680
13455104,22.571339,1743572634573874176,1743572634587329280
10564096,22.562025,1743572634637197568,1743572634647761664
11286784,22.562579,1743572634700653824,1743572634711940608
11759360,22.562982,1743572634763974400,1743572634775733760
8897792,22.570870,1743572634826484992,1743572634835382784
11747328,22.564033,1743572634889610752,1743572634901358080
9796608,22.566705,1743572634952955904,1743572634962752512
14380800,22.559296,1743572635015560960,1743572635029941760
13296128,22.558426,1743572635076986368,1743572635090282496
11188736,22.559126,1743572635140103168,1743572635151291904
12826880,22.551327,1743572635200635136,1743572635213462016
10848000,22.551096,1743572635263039232,1743572635273887232
8941056,22.549838,1743572635324781312,1743572635333722368
10978048,22.552964,1743572635386914304,1743572635397892352
11176192,22.550044,1743572635450629888,1743572635461806080
9838848,22.555897,1743572635513993216,1743572635523832064
9568512,22.557660,1743572635576236288,1743572635585804800
9372160,22.552589,1743572635636286976,1743572635645659136
9002496,22.557600,1743572635698010624,1743572635707013120
11058944,22.556822,1743572635760363008,1743572635771421952
9603840,22.550433,1743572635823813376,1743572635833417216
9890560,22.553645,1743572635887232000,1743572635897122560
9423360,22.553259,1743572635949498624,1743572635958921984
11597312,22.552508,1743572636013029376,1743572636024626688
8461056,22.557967,1743572636075116032,1743572636083577088
11564288,22.554538,1743572636137789184,1743572636149353472
8281856,22.548304,1743572636200829696,1743572636209111552
12044544,22.534593,1743572636262893824,1743572636274938368
8688640,22.528878,1743572636325678336,1743572636334366976
11876352,22.518806,1743572636388086016,1743572636399962368
9389568,22.518932,1743572636450157312,1743572636459546880
10241024,22.524033,1743572636513694208,1743572636523935232
10579200,22.521657,1743572636576631552,1743572636587210752
8325888,22.521945,1743572636639464704,1743572636647790592
10702848,22.520798,1743572636703723008,1743572636714425856
9595136,22.527485,1743572636764586496,1743572636774181632
11435776,22.520485,1743572636826586624,1743572636838022400
12511232,22.523923,1743572636890478592,1743572636902989824
8850688,22.516429,1743572636952691456,1743572636961542144
10785792,22.515033,1743572637016524032,1743572637027309824
9002496,22.517081,1743572637078936576,1743572637087939072
9857792,22.513666,1743572637141122816,1743572637150980608
9366784,22.511804,1743572637201901568,1743572637211268352
